1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
8,3,11168,15,1,4,2,2,1,0,0,0,34,0,0
20,3,7937,3,8,2,2,0,1,1,0,0,34,0,0
19,3,1359,11,15,2,9,0,1,1,0,0,34,0,0
11,3,3881,11,15,4,6,1,1,1,0,0,34,0,0
18,3,21173,11,15,4,6,1,1,1,0,0,34,0,0
48,3,12716,11,15,4,2,2,1,1,0,0,34,0,0
17,0,19956,9,4,4,3,4,1,1,17,0,34,0,0
15,3,1006,13,0,2,6,5,1,0,85,0,34,0,0
1,8,13015,15,1,4,14,3,2,0,0,17,34,0,0
23,3,5947,5,10,2,7,0,1,1,0,0,36,0,0
10,3,14457,15,1,4,2,1,1,1,0,37,39,0,0
34,3,19809,11,15,2,11,0,1,1,0,0,45,0,0
3,3,628,15,1,4,12,1,4,0,0,0,1,1,0
19,5,7677,10,7,5,9,4,4,0,0,0,1,1,0
0,3,17062,0,12,4,7,3,4,1,0,0,1,1,0
3,3,11232,15,1,4,7,3,4,1,0,0,3,1,0
54,8,1362,15,1,6,14,1,4,0,0,0,5,1,0
56,3,12310,11,15,2,13,0,4,1,0,0,7,1,0
9,3,5913,12,5,2,6,0,4,1,0,0,12,1,0
7,3,16739,15,1,4,7,3,4,1,0,0,12,1,0
2,8,10512,15,1,4,14,3,4,1,0,0,16,1,0
20,3,20314,11,15,0,11,4,4,0,0,0,17,1,0
1,3,21339,11,15,4,7,3,4,1,0,0,17,1,0
39,3,11341,9,4,2,0,0,4,1,0,0,23,1,0
23,3,6615,9,4,4,3,1,4,1,0,0,23,1,0
8,3,18088,9,4,4,2,3,4,1,0,0,23,1,0
8,3,7829,15,1,4,7,3,4,1,0,0,23,1,0
12,3,246,11,15,4,7,3,4,1,0,0,23,1,0
14,8,6875,9,4,2,14,5,4,0,80,0,23,1,0
27,3,11409,11,15,3,13,1,3,1,0,0,25,1,0
55,8,17871,15,1,2,14,0,4,1,0,0,25,1,0
13,3,18078,15,1,0,0,1,4,0,0,0,28,1,0
12,3,506,9,4,4,0,1,4,0,0,0,28,1,0
6,3,7262,9,4,4,3,1,4,0,0,0,28,1,0
8,8,10581,12,5,4,14,1,4,0,0,0,28,1,0
11,3,7554,11,15,2,2,0,4,1,0,0,28,1,0
36,3,1485,6,11,0,7,1,4,0,0,0,29,1,0
8,3,16467,8,2,4,9,1,4,0,0,0,29,1,0
10,3,16343,8,2,4,9,1,4,0,0,37,29,1,0
44,3,5436,11,15,0,0,1,4,0,0,0,34,1,0
28,3,21601,11,15,0,0,1,4,0,0,0,34,1,0
39,3,20588,15,1,4,0,1,4,0,0,0,34,1,0
7,6,21031,15,1,4,7,1,4,0,0,0,34,1,0
45,1,15984,11,15,6,7,1,4,0,0,0,34,1,0
9,1,8026,12,5,4,9,1,4,0,0,0,34,1,0
6,3,10265,11,15,4,9,1,4,0,0,0,34,1,0
24,8,20448,2,14,0,14,1,4,0,0,0,34,1,0
15,3,21445,9,4,0,3,4,4,0,0,0,34,1,0
23,3,17955,11,15,5,3,4,4,0,0,0,34,1,0
28,3,21539,11,15,4,6,4,4,0,0,0,34,1,0
56,4,21169,0,12,6,11,4,4,0,0,0,34,1,0
28,3,635,8,2,2,2,0,4,1,0,0,34,1,0
12,3,9764,9,4,2,2,0,4,1,0,0,34,1,0
32,5,8024,6,11,2,2,0,4,1,0,0,34,1,0
34,3,14043,9,4,2,4,0,4,1,0,0,34,1,0
18,3,5374,6,11,2,6,0,4,1,0,0,34,1,0
21,3,16166,9,4,2,9,0,4,1,0,0,34,1,0
49,3,14725,15,1,2,10,0,4,1,0,0,34,1,0
27,3,7498,11,15,2,10,0,4,1,0,0,34,1,0
45,8,13107,8,2,2,14,0,4,1,0,0,34,1,0
40,3,5698,1,13,3,2,1,4,1,0,0,34,1,0
23,3,10619,11,15,4,2,1,4,1,0,0,34,1,0
37,4,3870,11,15,0,7,1,4,1,0,0,34,1,0
36,3,21407,9,4,4,7,1,4,1,0,0,34,1,0
16,3,7943,9,4,4,9,1,4,1,0,0,34,1,0
12,3,17845,10,7,4,9,1,4,1,0,0,34,1,0
6,3,9189,11,15,4,9,1,4,1,0,0,34,1,0
36,3,209,1,13,0,13,1,4,1,0,0,34,1,0
45,8,10814,2,14,0,14,1,4,1,0,0,34,1,0
8,8,18033,9,4,3,14,1,4,1,0,0,34,1,0
0,3,20623,1,13,4,5,3,4,1,0,0,34,1,0
41,3,9282,11,15,4,13,3,4,1,0,0,34,1,0
19,3,6593,15,1,0,0,4,4,1,0,0,34,1,0
21,1,15871,11,15,4,2,1,4,1,0,37,34,1,0
11,3,12554,14,6,4,9,1,4,1,0,65,34,1,0
23,5,18529,11,15,0,2,1,4,1,0,0,39,1,0
5,3,14991,11,15,4,11,1,4,1,0,0,39,1,0
10,3,6817,11,15,2,6,0,4,1,92,0,40,1,0
29,1,4872,12,5,0,9,4,4,0,0,0,45,1,0
32,3,6314,15,1,2,2,0,4,1,0,0,45,1,0
15,4,9798,9,4,2,2,0,4,1,0,0,45,1,0
19,3,16833,10,7,2,9,0,4,1,0,0,45,1,0
51,5,20968,10,7,2,9,0,4,1,0,0,45,1,0
11,8,4484,1,13,0,14,4,4,0,0,0,53,1,0
48,3,3887,11,15,0,0,4,4,0,0,58,54,1,0
16,6,17182,12,5,2,9,0,4,1,0,0,56,1,0
25,3,7827,15,1,5,3,1,4,1,0,0,56,1,0
7,3,10185,15,1,4,2,3,4,1,0,0,56,1,0
34,5,13372,15,1,2,9,5,4,0,0,48,56,1,0
41,3,7427,9,4,4,9,1,4,0,0,0,58,1,0
33,3,21301,5,10,2,13,0,4,1,0,14,61,1,0
47,5,8085,4,9,2,4,0,4,1,0,0,66,1,0
55,0,17655,1,13,0,0,1,4,0,0,0,74,1,0
63,8,6082,11,15,2,14,0,4,1,0,0,74,1,0
58,8,12979,0,12,6,14,2,1,0,0,0,0,2,0
7,6,1966,12,5,3,9,1,1,0,0,0,1,2,0
13,6,20111,12,5,2,9,0,1,1,0,0,1,2,0
13,3,6952,9,4,4,7,1,1,1,0,0,6,2,0
17,6,3581,10,7,2,12,0,1,1,0,0,12,2,0
10,6,15352,12,5,4,9,1,1,1,0,0,12,2,0
6,8,12087,15,1,4,14,3,1,1,0,0,12,2,0
45,8,20195,11,15,2,14,0,1,1,0,0,16,2,0
35,3,15150,6,11,3,6,1,1,0,0,0,23,2,0
20,3,20563,9,4,2,7,0,1,1,0,0,23,2,0
31,3,21086,5,10,2,7,0,1,1,0,0,23,2,0
23,3,20217,11,15,2,7,0,1,1,0,0,23,2,0
6,1,4871,9,4,4,9,3,1,0,0,0,28,2,0
18,3,16815,14,6,2,11,0,1,1,0,0,28,2,0
29,3,21504,0,12,3,7,1,1,1,0,0,30,2,0
13,3,885,9,4,0,3,1,1,0,0,0,34,2,0
37,6,4773,12,5,3,9,1,1,0,0,0,34,2,0
33,3,2835,11,15,2,6,2,1,0,0,0,34,2,0
36,3,5215,9,4,2,6,5,1,0,0,0,34,2,0
35,3,2259,11,15,2,6,5,1,0,0,0,34,2,0
16,8,4105,9,4,2,14,5,1,0,0,0,34,2,0
16,3,14587,11,15,5,7,4,4,0,0,0,34,2,0
37,3,6113,13,0,2,2,0,1,1,0,0,34,2,0
24,3,5947,5,10,2,2,0,1,1,0,0,34,2,0
28,5,14180,11,15,2,3,0,1,1,0,0,34,2,0
24,3,5947,11,15,2,7,0,1,1,0,0,34,2,0
39,1,14990,11,15,2,7,0,1,1,0,0,34,2,0
18,3,19956,11,15,2,7,0,1,1,0,0,34,2,0
32,3,21086,11,15,2,7,0,1,1,0,0,34,2,0
28,3,7906,9,4,2,9,0,1,1,0,0,34,2,0
19,3,1780,12,5,2,9,0,1,1,0,0,34,2,0
14,3,14729,10,7,2,9,0,1,1,0,0,34,2,0
53,8,2814,9,4,2,14,0,1,1,0,0,34,2,0
27,3,2035,9,4,0,7,1,1,1,0,0,34,2,0
42,3,21504,11,15,0,7,1,1,1,0,0,34,2,0
44,3,21504,13,0,3,7,1,1,1,0,0,34,2,0
22,3,2035,9,4,0,11,1,1,1,0,0,34,2,0
22,3,3894,12,5,4,11,1,1,1,0,0,34,2,0
8,3,4684,15,1,4,3,3,1,1,0,0,34,2,0
17,3,15694,11,15,4,6,3,1,1,0,0,34,2,0
5,8,12087,15,1,4,14,3,1,1,0,0,34,2,0
39,6,19299,10,7,2,9,1,1,1,55,0,34,2,0
40,6,17816,9,4,2,0,0,1,1,0,8,34,2,0
29,3,3023,5,10,2,7,0,1,1,0,21,34,2,0
16,8,4916,11,15,0,14,1,1,0,0,0,35,2,0
26,3,16945,0,12,2,2,0,1,1,0,0,36,2,0
31,3,4828,6,11,2,6,2,1,0,0,0,39,2,0
7,3,19965,9,4,4,6,1,1,1,0,0,39,2,0
11,3,4871,5,10,2,6,2,1,0,0,0,42,2,0
16,3,3403,11,15,5,7,4,1,0,0,0,42,2,0
19,3,14658,9,4,4,11,1,1,0,0,0,45,2,0
23,4,2942,15,1,2,3,0,1,1,0,0,45,2,0
14,3,8454,10,7,3,9,1,1,1,0,0,56,2,0
26,3,4214,11,15,2,7,0,1,1,54,0,56,2,0
47,3,3824,12,5,2,9,0,1,1,0,48,56,2,0
17,3,7643,11,15,2,6,2,3,0,0,0,12,3,0
58,3,15299,8,2,6,0,1,4,0,0,0,12,3,0
6,3,17439,7,3,4,7,3,4,1,0,0,17,3,0
37,3,12861,15,1,5,7,1,4,1,0,0,20,3,0
4,3,6480,15,1,4,0,1,4,0,0,0,23,3,0
8,3,21325,11,15,4,7,4,4,0,0,0,23,3,0
32,5,6798,7,3,2,2,0,4,1,0,0,23,3,0
32,3,17875,9,4,3,13,4,4,1,0,0,23,3,0
19,3,6805,9,4,4,0,1,4,0,0,0,25,3,0
31,3,9635,11,15,4,7,1,4,0,0,0,25,3,0
32,3,5106,8,2,4,3,4,4,0,0,0,28,3,0
43,5,13151,15,1,2,3,0,4,1,0,0,28,3,0
45,3,2548,5,10,0,12,4,4,0,0,0,31,3,0
22,3,20994,8,2,0,7,1,0,0,0,0,34,3,0
12,3,4810,11,15,3,7,1,3,0,0,0,34,3,0
9,3,19704,11,15,4,6,4,3,0,0,0,34,3,0
16,3,1676,11,15,2,6,5,3,0,0,0,34,3,0
36,3,5494,0,12,3,6,1,4,0,0,0,34,3,0
29,3,8340,11,15,3,6,1,4,0,0,0,34,3,0
8,3,5267,0,12,4,6,1,4,0,0,0,34,3,0
8,3,12108,11,15,4,11,3,4,0,0,0,34,3,0
21,3,13768,15,1,0,0,4,4,0,0,0,34,3,0
15,3,42,6,11,5,6,4,4,0,0,0,34,3,0
24,3,3532,6,11,4,8,4,4,0,0,0,34,3,0
32,8,9176,11,15,5,14,4,4,0,0,0,34,3,0
28,3,10339,11,15,6,6,4,3,1,0,0,34,3,0
43,3,4690,15,1,2,2,0,4,1,0,0,34,3,0
8,3,7855,15,1,2,2,0,4,1,0,0,34,3,0
47,3,12968,2,14,2,2,0,4,1,0,0,34,3,0
12,3,4780,11,15,2,3,0,4,1,0,0,34,3,0
15,3,9147,1,13,2,5,0,4,1,0,0,34,3,0
14,3,12314,8,2,2,6,0,4,1,0,0,34,3,0
32,3,12080,9,4,2,9,0,4,1,0,0,34,3,0
14,5,11252,11,15,2,9,0,4,1,0,0,34,3,0
28,0,11621,7,3,4,0,1,4,1,0,0,34,3,0
4,3,4886,9,4,4,0,1,4,1,0,0,34,3,0
19,3,4885,11,15,5,0,1,4,1,0,0,34,3,0
11,3,4315,4,9,4,2,1,4,1,0,0,34,3,0
15,3,5044,11,15,4,5,1,4,1,0,0,34,3,0
9,3,4522,4,9,4,13,1,4,1,0,0,34,3,0
17,8,6373,0,12,0,14,1,4,1,0,0,34,3,0
6,3,14267,11,15,4,2,3,4,1,0,0,34,3,0
1,3,12606,2,14,4,5,3,4,1,0,0,34,3,0
4,3,15296,15,1,4,11,3,4,1,0,0,34,3,0
32,3,11167,11,15,0,7,4,4,1,0,0,34,3,0
21,3,9270,11,15,2,11,0,4,1,71,0,34,3,0
35,3,11294,11,15,2,6,0,3,1,74,0,34,3,0
12,3,13146,8,2,0,7,4,4,0,0,0,39,3,0
34,3,11163,11,15,3,2,1,4,1,0,0,39,3,0
40,5,1625,3,8,6,2,2,4,0,0,17,39,3,0
40,8,2967,11,15,2,14,0,3,1,0,0,44,3,0
22,5,19633,12,5,4,9,1,4,0,0,0,45,3,0
16,3,1358,15,1,5,12,4,4,0,0,0,45,3,0
11,5,4315,15,1,4,2,3,4,1,0,0,45,3,0
39,5,9028,6,11,2,3,2,4,1,67,0,45,3,0
33,3,1371,7,3,2,0,0,4,1,0,0,56,3,0
9,0,9570,14,6,2,9,0,4,1,0,0,56,3,0
55,3,8354,11,15,6,8,4,4,0,0,0,3,4,0
4,3,7431,15,1,4,0,3,3,0,0,0,12,4,0
47,3,12524,4,9,5,7,2,4,0,0,0,12,4,0
30,3,10477,11,15,3,11,4,4,0,0,0,12,4,0
30,8,6456,0,12,2,14,5,4,0,0,0,12,4,0
53,3,13932,9,4,2,3,0,4,1,0,0,12,4,0
60,3,11609,11,15,2,7,0,4,1,0,0,17,4,0
38,3,10823,3,8,0,8,4,4,0,0,0,23,4,0
11,3,10894,12,5,4,3,1,3,1,0,0,23,4,0
6,3,13778,15,1,4,5,3,4,1,0,0,25,4,0
43,3,11288,5,10,0,0,1,4,0,0,0,28,4,0
33,3,13691,4,9,0,7,1,4,1,0,0,30,4,0
41,3,9772,3,8,2,7,0,4,1,0,0,31,4,0
11,3,16170,9,4,2,9,5,2,0,0,0,34,4,0
27,3,9274,9,4,3,0,1,4,0,0,0,34,4,0
47,3,12870,15,1,6,0,1,4,0,0,0,34,4,0
23,3,9483,14,6,4,3,1,4,0,0,0,34,4,0
33,3,9602,15,1,3,7,1,4,0,0,0,34,4,0
51,3,8308,10,7,0,9,1,4,0,0,0,34,4,0
6,3,12793,9,4,4,5,2,4,0,0,0,34,4,0
35,3,10763,2,14,5,6,2,4,0,0,0,34,4,0
24,5,9767,11,15,2,11,2,4,0,0,0,34,4,0
6,1,12334,11,15,0,0,3,4,0,0,0,34,4,0
4,3,10073,11,15,4,0,3,4,0,0,0,34,4,0
14,0,3099,9,4,4,3,3,4,0,0,0,34,4,0
26,3,11518,11,15,0,6,3,4,0,0,0,34,4,0
20,5,12111,15,1,5,7,3,4,0,0,0,34,4,0
27,1,14375,8,2,0,10,3,4,0,0,0,34,4,0
35,3,15497,11,15,0,0,4,4,0,0,0,34,4,0
19,3,11198,15,1,0,2,4,4,0,0,0,34,4,0
35,3,17080,6,11,0,2,4,4,0,0,0,34,4,0
21,3,11198,9,4,4,3,4,4,0,0,0,34,4,0
29,3,10108,15,1,0,11,4,4,0,0,0,34,4,0
28,3,14669,7,3,6,11,4,4,0,0,0,34,4,0
12,3,7379,11,15,2,7,5,4,0,0,0,34,4,0
22,3,15351,11,15,2,13,0,2,1,0,0,34,4,0
37,3,11300,7,3,2,2,0,4,1,0,0,34,4,0
32,3,11953,1,13,2,2,0,4,1,0,0,34,4,0
65,5,11926,11,15,2,2,0,4,1,0,0,34,4,0
35,3,13746,9,4,2,7,0,4,1,0,0,34,4,0
45,3,13611,5,10,2,10,0,4,1,0,0,34,4,0
40,4,14050,11,15,2,11,0,4,1,0,0,34,4,0
46,1,10164,9,4,2,13,0,4,1,0,0,34,4,0
20,3,11801,3,8,2,13,0,4,1,0,0,34,4,0
34,3,10902,5,10,2,13,0,4,1,0,0,34,4,0
46,3,11303,2,14,2,13,0,4,1,0,0,34,4,0
55,8,5901,11,15,2,14,0,4,1,0,0,34,4,0
40,3,11466,12,5,4,3,1,4,1,0,0,34,4,0
16,3,10240,8,2,4,7,1,4,1,0,0,34,4,0
40,3,14919,4,9,4,7,1,4,1,0,0,34,4,0
22,5,12526,6,11,2,4,2,4,1,0,0,34,4,0
36,3,12069,15,1,5,0,3,4,1,0,0,34,4,0
8,3,12674,11,15,4,2,3,4,1,0,0,34,4,0
36,3,13746,9,4,4,3,3,4,1,0,0,34,4,0
40,3,9514,11,15,5,6,1,4,1,33,0,34,4,0
26,5,16365,5,10,2,4,0,4,1,85,0,34,4,0
14,3,12112,9,4,6,11,4,4,0,0,5,34,4,0
24,3,6990,11,15,5,6,4,4,0,0,0,38,4,0
17,3,16679,9,4,4,9,1,4,0,0,0,39,4,0
42,3,15371,11,15,2,7,0,4,1,0,0,39,4,0
37,5,13010,5,10,0,13,1,4,1,0,0,39,4,0
