1,2,3,4,5,6,7,8,9
1,1,15200,5,5,18,7,274,196567
1,1,17400,5,5,18,7,274,369785
1,1,9061157,2,2,8,28,952,240164
1,1,200200,2,2,8,28,1471,331719
1,1,218800,2,2,8,28,1765,258153
1,1,267000,2,2,8,28,2887,338892
1,1,279300,2,2,8,28,2958,350352
1,1,308400,5,5,18,7,3123,323557
1,1,309400,5,5,18,7,3132,171388
1,1,326800,2,2,8,28,3383,336133
1,1,328800,5,5,18,7,3383,438502
1,1,378200,2,2,8,28,3725,60037
1,1,382800,2,2,8,28,3752,295354
1,1,383200,2,2,8,28,3752,298153
1,1,386800,2,2,8,28,3823,169556
1,1,389600,2,2,8,28,3825,218936
1,1,451400,5,5,18,7,4602,280532
1,1,464600,5,5,18,7,4736,438473
1,1,547800,5,5,18,7,5850,418860
1,1,582700,2,2,8,28,6507,141448
1,1,594775,5,5,18,7,6742,149097
1,1,630400,2,2,8,28,7194,143595
1,1,681100,2,2,8,28,7383,224875
1,1,685800,2,2,8,28,7383,340119
1,1,719600,2,2,8,28,7604,60273
1,1,9063807,2,2,8,28,7687,417308
1,1,744400,5,5,18,7,7826,153967
1,1,804000,2,2,8,28,8265,134842
1,1,818000,2,2,8,28,8265,243023
1,1,909000,5,5,18,7,8970,271821
1,1,910400,5,5,21,13,8970,327720
1,1,1063800,5,5,21,13,10383,277585
1,1,1065900,2,2,8,28,10389,214477
1,1,1072800,2,2,8,28,10519,318025
1,1,1098800,2,2,8,28,10681,337476
1,1,1104100,2,2,8,28,10694,400782
1,1,1184300,2,2,8,28,11942,26682
1,1,1255800,5,5,18,7,12280,368484
1,1,1257400,2,2,8,28,12280,437196
1,1,5139800,2,2,8,28,12566,41422
1,1,1359600,4,4,14,6,12652,179302
1,1,1359800,2,2,8,28,12652,203588
1,1,1360800,2,2,8,28,12652,299225
1,1,1361200,2,2,8,28,12652,362773
1,1,1413800,2,2,8,28,12937,339686
1,1,1420800,2,2,8,28,12954,171878
1,1,1478825,2,2,8,28,13486,185526
1,1,1542000,5,5,18,7,13906,129073
1,1,1543600,2,2,8,28,13906,336952
1,1,1583200,2,2,8,28,14228,141421
1,1,1584200,2,2,8,28,14228,255715
1,1,1636200,2,2,8,28,15012,64390
1,1,1636600,5,5,18,7,15012,218677
1,1,1652800,2,2,8,28,15026,154139
1,1,1656200,2,2,8,28,15026,178577
1,1,1664800,5,5,18,7,15026,260922
1,1,1693800,2,2,8,28,15072,146108
1,1,1696800,2,2,8,28,15072,323780
1,1,1697400,2,2,8,28,15072,360905
1,1,1840800,2,2,8,28,18434,31811
1,1,1844000,2,2,8,28,18434,104990
1,1,1853200,2,2,8,28,18434,445088
1,1,1878600,2,2,8,28,18946,168455
1,1,1909800,2,2,8,28,19346,66742
1,1,2013000,2,2,8,28,20523,79513
1,1,9070005,2,2,8,28,20596,16482
1,1,2090800,2,2,8,28,21315,287579
1,1,2131800,5,5,18,7,21771,68282
1,1,2138600,2,2,8,28,21771,176338
1,1,2206200,2,2,8,28,22071,13242
1,1,2249500,2,2,8,28,22209,78799
1,1,127000,2,2,8,28,22277,296722
1,1,2283600,5,5,18,7,22611,446731
1,1,2301400,2,2,8,28,22737,40561
1,1,2303400,2,2,8,28,22737,242497
1,1,2339750,2,2,8,28,23349,67917
1,1,2396800,2,2,8,28,23858,323185
1,1,2535600,2,2,8,28,25657,336203
1,1,2542800,5,5,18,7,25675,44231
1,1,9065455,2,2,8,28,25729,28964
1,1,2562200,5,5,18,7,25786,128491
1,1,9071423,2,2,8,28,27204,72482
1,1,2712400,5,5,18,7,27206,223476
1,1,2729800,2,2,8,28,27355,372320
1,1,2730400,2,2,8,28,27355,418682
1,1,2742800,2,2,8,28,27543,117915
1,1,2749600,2,2,8,28,27557,220211
