1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,0,0,0,32,169,0,4,1,0,27,0,0,1,2,0,0,0,0,1,0,0,15,0,12
1,0,0,0,34,37,0,64,1,0,34,78,0,1,2,0,0,0,0,1,0,0,54,0,0
1,0,0,0,0,87,0,2,1,0,11,199,0,1,2,0,0,0,0,2,0,0,215,0,1
1,2,3,4,5,141,22,7,1,0,36,58,0,1,4,0,1,0,0,1,0,0,280,0,0
1,1,4,2,32,141,0,7,1,0,14,59,0,0,2,0,0,0,0,1,0,0,401,0,16
1,1,4,2,5,141,21,5,1,0,58,25,0,1,2,0,0,0,0,2,0,0,63,0,16
1,0,0,0,5,17,11,3,1,0,25,114,0,1,2,0,0,0,0,1,0,0,169,0,12
1,2,3,4,32,1,0,2,1,0,36,0,0,1,1,0,1,0,0,2,0,0,58,0,0
1,0,0,0,31,55,0,6,1,0,32,82,0,1,2,0,0,0,0,0,0,0,23,0,1
1,1,4,2,7,15,1,4,1,0,14,57,0,0,2,0,0,0,0,2,0,0,219,0,12
1,0,0,0,12,158,17,6,1,0,25,155,0,1,3,0,0,0,0,2,0,0,23,0,12
1,0,0,0,19,141,0,3,1,0,7,50,0,0,2,0,0,0,0,2,0,0,110,0,1
1,1,1,3,32,141,0,3,0,0,61,41,0,1,4,0,0,0,0,2,0,0,283,0,1
0,1,1,3,5,165,11,19,0,0,21,40,0,1,2,0,0,0,0,2,4,0,391,0,14
1,1,4,2,4,122,26,6,1,0,61,26,0,1,2,0,0,0,0,1,0,0,23,0,19
1,1,1,3,27,1,4,1,0,0,38,42,0,0,2,0,0,0,0,1,0,0,25,0,13
1,2,3,4,0,162,27,2,1,0,36,0,0,0,2,0,1,0,0,1,0,0,22,0,0
1,1,2,1,27,156,0,6,0,0,21,0,0,1,4,0,0,0,0,1,0,0,23,0,1
1,1,4,2,32,141,0,15,1,0,60,28,0,1,2,0,0,0,0,1,0,0,267,0,1
1,1,4,2,31,153,0,64,1,0,60,28,0,1,2,0,0,5,0,2,0,0,54,0,0
1,1,4,2,5,141,15,4,1,0,61,26,0,1,2,0,0,0,0,2,0,0,131,0,15
1,1,4,2,32,71,0,29,1,0,58,25,0,1,2,0,0,0,0,1,0,0,48,0,13
1,1,1,3,0,141,27,18,0,0,37,43,0,1,4,0,0,0,0,2,0,0,230,0,12
